DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,RRAM area,restraint
1,1024 16,1 48,73,0,7642235171159.608,0.0,25690900000000.0,0.0,pass
2,1024 20,1 44,73,0,7642235171159.608,0.0,32113400000000.0,0.0,pass
3,1024 24,1 40,73,0,7642235171159.608,0.0,38536000000000.0,0.0,pass
4,1024 28,1 36,73,0,7642235171159.608,0.0,44958600000000.0,0.0,pass
5,1024 32,1 32,73,0,7642235171159.608,0.0,51381200000000.0,0.0,pass
6,1024 36,1 28,73,0,7642235171159.608,0.0,57803700000000.0,0.0,pass
7,1024 40,1 24,73,0,7642235171159.608,0.0,64226300000000.0,0.0,pass
8,1024 44,1 20,73,0,7642235171159.608,0.0,70648900000000.0,0.0,pass
9,1024 48,1 16,73,0,7642235171159.608,0.0,77071500000000.0,0.0,pass
10,1024 16,2 48,72,1,6883375482180.659,2444482325572.2495,25690900000000.0,87295333.74718937,pass
11,1024 20,2 44,72,1,6883375482180.659,2444482325572.2495,32113400000000.0,87295333.74718937,pass
12,1024 24,2 40,72,1,6883375482180.659,2444482325572.2495,38536000000000.0,87295333.74718937,pass
13,1024 28,2 36,72,1,6883375482180.659,2444482325572.2495,44958600000000.0,87295333.74718937,pass
14,1024 32,2 32,72,1,6883375482180.659,2444482325572.2495,51381200000000.0,87295333.74718937,pass
15,1024 36,2 28,72,1,6883375482180.659,2444482325572.2495,57803700000000.0,87295333.74718937,pass
16,1024 40,2 24,72,1,6883375482180.659,2444482325572.2495,64226300000000.0,87295333.74718937,pass
17,1024 44,2 20,72,1,6883375482180.659,2444482325572.2495,70648900000000.0,87295333.74718937,pass
18,1024 48,2 16,72,1,6883375482180.659,2444482325572.2495,77071500000000.0,87295333.74718937,pass
19,1024 16,3 48,68,5,4793974482299.55,101361861090513.8,25690900000000.0,384099468.4876332,pass
20,1024 20,3 44,68,5,4793974482299.55,101361861090513.8,32113400000000.0,384099468.4876332,pass
21,1024 24,3 40,68,5,4793974482299.55,101361861090513.8,38536000000000.0,384099468.4876332,pass
22,1024 28,3 36,68,5,4793974482299.55,101361861090513.8,44958600000000.0,384099468.4876332,pass
23,1024 32,3 32,68,5,4793974482299.55,101361861090513.8,51381200000000.0,384099468.4876332,pass
24,1024 36,3 28,68,5,4793974482299.55,101361861090513.8,57803700000000.0,384099468.4876332,pass
25,1024 40,3 24,68,5,4793974482299.55,101361861090513.8,64226300000000.0,384099468.4876332,pass
26,1024 44,3 20,68,5,4793974482299.55,101361861090513.8,70648900000000.0,384099468.4876332,pass
27,1024 48,3 16,68,5,4793974482299.55,101361861090513.8,77071500000000.0,384099468.4876332,pass
28,1024 16,4 48,59,14,1951851468378.51,1417240792124874.5,25690900000000.0,715821736.7269529,pass
29,1024 20,4 44,59,14,1951851468378.51,1417240792124874.5,32113400000000.0,715821736.7269529,pass
30,1024 24,4 40,59,14,1951851468378.51,1417240792124874.5,38536000000000.0,715821736.7269529,pass
31,1024 28,4 36,59,14,1951851468378.51,1417240792124874.5,44958600000000.0,715821736.7269529,pass
32,1024 32,4 32,59,14,1951851468378.51,1417240792124874.5,51381200000000.0,715821736.7269529,pass
33,1024 36,4 28,59,14,1951851468378.51,1417240792124874.5,57803700000000.0,715821736.7269529,pass
34,1024 40,4 24,59,14,1951851468378.51,1417240792124874.5,64226300000000.0,715821736.7269529,pass
35,1024 44,4 20,59,14,1951851468378.51,1417240792124874.5,70648900000000.0,715821736.7269529,pass
36,1024 48,4 16,59,14,1951851468378.51,1417240792124874.5,77071500000000.0,715821736.7269529,pass
37,1024 16,5 48,0,73,0.0,9241500370174358.0,25690900000000.0,8310515772.732429,fail
38,1024 20,5 44,0,73,0.0,9254520619543114.0,32113400000000.0,8310515772.732429,fail
39,1024 24,5 40,0,73,0.0,9270144918785622.0,38536000000000.0,8310515772.732429,fail
40,1024 28,5 36,0,73,0.0,9289241284526464.0,44958600000000.0,8310515772.732429,fail
41,1024 32,5 32,0,73,0.0,9313111741702516.0,51381200000000.0,8310515772.732429,fail
42,1024 36,5 28,0,73,0.0,9343802329500300.0,57803700000000.0,8310515772.732429,fail
43,1024 40,5 24,0,73,0.0,9384723113230674.0,64226300000000.0,8310515772.732429,fail
44,1024 44,5 20,0,73,0.0,9442012210453202.0,70648900000000.0,8310515772.732429,fail
45,1024 48,5 16,0,73,0.0,9527945856286992.0,77071500000000.0,8310515772.732429,fail
46,1024 16,6 48,0,73,0.0,9241500370174358.0,25690900000000.0,8310515772.732429,fail
47,1024 20,6 44,0,73,0.0,9254520619543114.0,32113400000000.0,8310515772.732429,fail
48,1024 24,6 40,0,73,0.0,9270144918785622.0,38536000000000.0,8310515772.732429,fail
49,1024 28,6 36,0,73,0.0,9289241284526464.0,44958600000000.0,8310515772.732429,fail
50,1024 32,6 32,0,73,0.0,9313111741702516.0,51381200000000.0,8310515772.732429,fail
51,1024 36,6 28,0,73,0.0,9343802329500300.0,57803700000000.0,8310515772.732429,fail
52,1024 40,6 24,0,73,0.0,9384723113230674.0,64226300000000.0,8310515772.732429,fail
53,1024 44,6 20,0,73,0.0,9442012210453202.0,70648900000000.0,8310515772.732429,fail
54,1024 48,6 16,0,73,0.0,9527945856286992.0,77071500000000.0,8310515772.732429,fail
55,1024 16,7 48,0,73,0.0,9241500370174358.0,25690900000000.0,8310515772.732429,fail
56,1024 20,7 44,0,73,0.0,9254520619543114.0,32113400000000.0,8310515772.732429,fail
57,1024 24,7 40,0,73,0.0,9270144918785622.0,38536000000000.0,8310515772.732429,fail
58,1024 28,7 36,0,73,0.0,9289241284526464.0,44958600000000.0,8310515772.732429,fail
59,1024 32,7 32,0,73,0.0,9313111741702516.0,51381200000000.0,8310515772.732429,fail
60,1024 36,7 28,0,73,0.0,9343802329500300.0,57803700000000.0,8310515772.732429,fail
61,1024 40,7 24,0,73,0.0,9384723113230674.0,64226300000000.0,8310515772.732429,fail
62,1024 44,7 20,0,73,0.0,9442012210453202.0,70648900000000.0,8310515772.732429,fail
63,1024 48,7 16,0,73,0.0,9527945856286992.0,77071500000000.0,8310515772.732429,fail
64,1024 16,8 48,0,73,0.0,9241500370174358.0,25690900000000.0,8310515772.732429,fail
65,1024 20,8 44,0,73,0.0,9254520619543114.0,32113400000000.0,8310515772.732429,fail
66,1024 24,8 40,0,73,0.0,9270144918785622.0,38536000000000.0,8310515772.732429,fail
67,1024 28,8 36,0,73,0.0,9289241284526464.0,44958600000000.0,8310515772.732429,fail
68,1024 32,8 32,0,73,0.0,9313111741702516.0,51381200000000.0,8310515772.732429,fail
69,1024 36,8 28,0,73,0.0,9343802329500300.0,57803700000000.0,8310515772.732429,fail
70,1024 40,8 24,0,73,0.0,9384723113230674.0,64226300000000.0,8310515772.732429,fail
71,1024 44,8 20,0,73,0.0,9442012210453202.0,70648900000000.0,8310515772.732429,fail
72,1024 48,8 16,0,73,0.0,9527945856286992.0,77071500000000.0,8310515772.732429,fail
