DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
1,1024 16,1 48,29,0,238547539915130.94,0.0,25690900000000.0,pass
2,1024 20,1 44,29,0,238547539915130.94,0.0,32113400000000.0,pass
3,1024 24,1 40,29,0,238547539915130.94,0.0,38536000000000.0,pass
4,1024 28,1 36,29,0,238547539915130.94,0.0,44958600000000.0,pass
5,1024 32,1 32,29,0,238547539915130.94,0.0,51381200000000.0,pass
6,1024 36,1 28,29,0,238547539915130.94,0.0,57803700000000.0,pass
7,1024 40,1 24,29,0,238547539915130.94,0.0,64226300000000.0,pass
8,1024 44,1 20,29,0,238547539915130.94,0.0,70648900000000.0,pass
9,1024 48,1 16,29,0,238547539915130.94,0.0,77071500000000.0,pass
10,1024 16,2 48,29,0,238547539915130.94,0.0,25690900000000.0,pass
11,1024 20,2 44,29,0,238547539915130.94,0.0,32113400000000.0,pass
12,1024 24,2 40,29,0,238547539915130.94,0.0,38536000000000.0,pass
13,1024 28,2 36,29,0,238547539915130.94,0.0,44958600000000.0,pass
14,1024 32,2 32,29,0,238547539915130.94,0.0,51381200000000.0,pass
15,1024 36,2 28,29,0,238547539915130.94,0.0,57803700000000.0,pass
16,1024 40,2 24,29,0,238547539915130.94,0.0,64226300000000.0,pass
17,1024 44,2 20,29,0,238547539915130.94,0.0,70648900000000.0,pass
18,1024 48,2 16,29,0,238547539915130.94,0.0,77071500000000.0,pass
19,1024 16,3 48,28,1,207407737726064.66,3105276904697.832,25690900000000.0,pass
20,1024 20,3 44,28,1,207407737726064.66,3105276904697.832,32113400000000.0,pass
21,1024 24,3 40,28,1,207407737726064.66,3105276904697.832,38536000000000.0,pass
22,1024 28,3 36,28,1,207407737726064.66,3105276904697.832,44958600000000.0,pass
23,1024 32,3 32,28,1,207407737726064.66,3105276904697.832,51381200000000.0,pass
24,1024 36,3 28,28,1,207407737726064.66,3105276904697.832,57803700000000.0,pass
25,1024 40,3 24,28,1,207407737726064.66,3105276904697.832,64226300000000.0,pass
26,1024 44,3 20,28,1,207407737726064.66,3105276904697.832,70648900000000.0,pass
