DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,RRAM area,restraint
1,1024 16,4 48,8,0,6487271140350.001,0.0,25690900000000.0,0.0,pass
2,1024 20,4 44,8,0,6487271140350.001,0.0,32113400000000.0,0.0,pass
3,1024 24,4 40,8,0,6487271140350.001,0.0,38536000000000.0,0.0,pass
4,1024 28,4 36,8,0,6487271140350.001,0.0,44958600000000.0,0.0,pass
5,1024 32,4 32,8,0,6487271140350.001,0.0,51381200000000.0,0.0,pass
6,1024 36,4 28,8,0,6487271140350.001,0.0,57803700000000.0,0.0,pass
7,1024 40,4 24,8,0,6487271140350.001,0.0,64226300000000.0,0.0,pass
8,1024 44,4 20,8,0,6487271140350.001,0.0,70648900000000.0,0.0,pass
9,1024 48,4 16,8,0,6487271140350.001,0.0,77071500000000.0,0.0,pass
10,1024 16,5 48,8,0,6487271140350.001,0.0,25690900000000.0,0.0,pass
11,1024 20,5 44,8,0,6487271140350.001,0.0,32113400000000.0,0.0,pass
12,1024 24,5 40,8,0,6487271140350.001,0.0,38536000000000.0,0.0,pass
13,1024 28,5 36,8,0,6487271140350.001,0.0,44958600000000.0,0.0,pass
14,1024 32,5 32,8,0,6487271140350.001,0.0,51381200000000.0,0.0,pass
15,1024 36,5 28,8,0,6487271140350.001,0.0,57803700000000.0,0.0,pass
16,1024 40,5 24,8,0,6487271140350.001,0.0,64226300000000.0,0.0,pass
17,1024 44,5 20,8,0,6487271140350.001,0.0,70648900000000.0,0.0,pass
18,1024 48,5 16,8,0,6487271140350.001,0.0,77071500000000.0,0.0,pass
19,1024 16,6 48,8,0,6487271140350.001,0.0,25690900000000.0,0.0,pass
20,1024 20,6 44,8,0,6487271140350.001,0.0,32113400000000.0,0.0,pass
21,1024 24,6 40,8,0,6487271140350.001,0.0,38536000000000.0,0.0,pass
22,1024 28,6 36,8,0,6487271140350.001,0.0,44958600000000.0,0.0,pass
23,1024 32,6 32,8,0,6487271140350.001,0.0,51381200000000.0,0.0,pass
24,1024 36,6 28,8,0,6487271140350.001,0.0,57803700000000.0,0.0,pass
25,1024 40,6 24,8,0,6487271140350.001,0.0,64226300000000.0,0.0,pass
26,1024 44,6 20,8,0,6487271140350.001,0.0,70648900000000.0,0.0,pass
27,1024 48,6 16,8,0,6487271140350.001,0.0,77071500000000.0,0.0,pass
28,1024 16,7 48,8,0,6487271140350.001,0.0,25690900000000.0,0.0,pass
29,1024 20,7 44,8,0,6487271140350.001,0.0,32113400000000.0,0.0,pass
30,1024 24,7 40,8,0,6487271140350.001,0.0,38536000000000.0,0.0,pass
31,1024 28,7 36,8,0,6487271140350.001,0.0,44958600000000.0,0.0,pass
32,1024 32,7 32,8,0,6487271140350.001,0.0,51381200000000.0,0.0,pass
33,1024 36,7 28,8,0,6487271140350.001,0.0,57803700000000.0,0.0,pass
34,1024 40,7 24,8,0,6487271140350.001,0.0,64226300000000.0,0.0,pass
35,1024 44,7 20,8,0,6487271140350.001,0.0,70648900000000.0,0.0,pass
